Name,RA,Dec,V-Mag,Spectrum
HIP 4317,0.920742,24.557062,6.19,M4III
HIP 4346,0.928444,-7.347149,5.88,K5III
HIP 4363,0.932093,-27.775839,6.11,M1/M2III
67    Psc,0.93292,27.209381,6.08,A5IV
22Phi3Cet,0.933747,-11.266526,5.35,K4III
HIP 4382,0.935867,13.95196,6.46,G8II
HIP 4383,0.936931,57.996557,6.2,K3III
Castula,0.944432,59.181056,4.62,G8III-IV
Cih,0.945143,60.71674,2.15,B0IV:evar
37Mu  And,0.945885,38.499345,3.86,A5V
HIP 4440,0.946377,60.362836,5.56,B8V
HIP 4446,0.948624,68.775657,6.39,F0m
38Eta And,0.953445,23.417648,4.4,G8III-IV
HIP 4475,0.955435,61.421895,6.44,G8IV
HIP 4501,0.961012,45.839379,6.1,K2III
68    Psc,0.963931,28.992217,5.44,G6III
HIP 4520,0.965142,13.695865,6.3,G8III
HIP 4552,0.970615,33.950885,5.99,K0
HIP 4558,0.971915,21.404495,6.47,A2V
HIP 4563,0.972834,-60.696239,6.23,Am
HIP 4572,0.975285,66.351793,5.97,A0III
Alp Scl,0.976766,-29.357449,4.3,B7IIIp
23Phi4Cet,0.978852,-11.379975,5.62,G7III
HIP 4655,0.997135,6.483225,6.14,M2III
HIP 4675,1.000988,44.713243,5.69,B9.5Vn
HIP 4709,1.008587,70.982988,6.4,A4IV
Xi  Scl,1.02174,-38.916527,5.59,K1III
HIP 4786,1.024179,49.54422,6.48,G5
HIP 4801,1.027401,-16.265573,6.47,K2/K3III
Ome Phe,1.033838,-57.002389,6.12,G8III
HIP 4844,1.038463,51.034938,6.48,A3V
Sig Scl,1.040674,-31.552005,5.5,A1/A2IV
HIP 4879,1.04525,-65.456102,6.25,M2III
69Sig Psc,1.046971,31.804263,5.5,B9.5V
HIP 4890,1.046997,-46.397311,5.39,G8III
39    And,1.048407,41.345157,5.95,A5m
71Eps Psc,1.049058,7.890135,4.27,K0III
HIP 4911,1.050423,47.376158,6.46,A9V
25    Cet,1.050705,-4.836601,5.4,K0III-IV
HIP 4932,1.054918,-29.525848,6.28,G8IIICN...
HIP 4962,1.06028,61.074823,5.92,F0II
26    Cet,1.063619,1.366846,6.06,F1V
HIP 4998,1.06733,52.502161,5.99,K2
HIP 5021,1.072084,61.580184,5.83,F6V
HIP 5034,1.074339,29.658806,6.2,F7IV-V
HIP 5042,1.075717,-33.532845,6.44,K0III
73    Psc,1.081288,5.656262,6.03,K5III
72    Psc,1.084821,14.946133,5.64,F4II-III
27    Cet,1.093579,-9.979323,6.09,K0III
74Psi1Psc,1.094709,21.473181,5.33,A1Vn
74Psi1Psc,1.094919,21.465442,5.55,A0Vn
77    Psc,1.097008,4.908372,6.35,F4V...
Bet Phe,1.101407,-46.718414,3.32,G8IIIvar
28    Cet,1.10143,-9.839354,5.58,A1V
HIP 5170,1.102141,-23.992451,6.12,K1III
HIP 5175,1.103111,32.181485,6.28,K0
75    Psc,1.109341,12.956039,6.14,G8III
HIP 5240,1.116702,56.934972,6.41,K2III...
HIP 5251,1.119292,53.498185,6.31,K0
HIP 5259,1.120255,-23.996334,6.36,A3III
Iot Tuc,1.121838,-61.775289,5.36,G5III
30    Cet,1.129502,-9.78555,5.71,F7IV
Ups Phe,1.129957,-41.486916,5.21,A3V
79Psi2Psc,1.132544,20.739113,5.56,A3V
HIP 5315,1.13324,1.993042,6.44,K0IV
41    And,1.133559,43.942092,5.04,A3m
78    Psc,1.133701,32.01213,6.23,F5IV
30Mu  Cas,1.137477,54.92034,5.17,G5Vp
80    Psc,1.1395,5.649819,5.51,F0III-IV
Wurren,1.139742,-55.24576,3.94,B6V + B0V
HIP 5361,1.142627,58.263449,5.77,B8V
31Eta Cet,1.143164,-10.182264,3.46,K2III
HIP 5372,1.145613,86.25709,4.24,K2II-III
HIP 5412,1.15341,80.011579,6.24,K0
42Phi And,1.158368,47.241792,4.26,B7III
Mirach,1.162194,35.620558,2.07,M0IIIvar
81Psi3Psc,1.163667,19.658408,5.57,G0III
HIP 5477,1.168715,-57.694419,6.41,G6II/III
HIP 5483,1.169845,15.673912,6.07,M0III
32    Cet,1.169985,-8.906135,6.4,K0III
44    And,1.17188,42.081475,5.67,F8V
HIP 5494,1.17207,25.457763,5.81,K5III
33    Cet,1.175987,2.44567,5.97,K4III
31    Cas,1.177579,68.778621,5.32,A0Vnn
33The Cas,1.185017,55.149901,4.34,A7Vvar
82    Psc,1.185213,31.424736,5.15,F0V
45    And,1.186189,37.724121,5.8,B7III-IV
HIP 5566,1.190428,64.202677,5.56,B9.5V
84Chi Psc,1.190894,21.03465,4.66,K0III
HIP 5575,1.191381,10.291908,6.49,G5
83Tau Psc,1.194342,30.089638,4.51,K0III-IV...
32    Cas,1.194829,65.018854,5.57,B9IV
34    Cet,1.195419,-2.251079,5.93,K4III
HIP 5626,1.204601,79.673963,5.6,A3V
HIP 5650,1.209465,45.337531,6.13,M1III
